source_file,year,election_type,prm_party,juris,state,office,dist,election_id
Alaska_20220816_USHouse_Special,2022,special,NA,Alaska,AK,U.S. House,At_Large,AK_2022_S_Alaska_At_Large_US_Representative
Alaska_20221108_GovernorLieutenantGovernor,2022,general,NA,Alaska,AK,Governor,At_Large,AK_2022_G_Alaska_At_Large_Governor
Alaska_20221108_HouseDistrict10,2022,general,NA,Alaska,AK,State House,10,AK_2022_G_Alaska_10_State_House
Alaska_20221108_HouseDistrict11,2022,general,NA,Alaska,AK,State House,11,AK_2022_G_Alaska_11_State_House
Alaska_20221108_HouseDistrict12,2022,general,NA,Alaska,AK,State House,12,AK_2022_G_Alaska_12_State_House
Alaska_20221108_HouseDistrict13,2022,general,NA,Alaska,AK,State House,13,AK_2022_G_Alaska_13_State_House
Alaska_20221108_HouseDistrict14,2022,general,NA,Alaska,AK,State House,14,AK_2022_G_Alaska_14_State_House
Alaska_20221108_HouseDistrict15,2022,general,NA,Alaska,AK,State House,15,AK_2022_G_Alaska_15_State_House
Alaska_20221108_HouseDistrict16,2022,general,NA,Alaska,AK,State House,16,AK_2022_G_Alaska_16_State_House
Alaska_20221108_HouseDistrict17,2022,general,NA,Alaska,AK,State House,17,AK_2022_G_Alaska_17_State_House
Alaska_20221108_HouseDistrict18,2022,general,NA,Alaska,AK,State House,18,AK_2022_G_Alaska_18_State_House
Alaska_20221108_HouseDistrict19,2022,general,NA,Alaska,AK,State House,19,AK_2022_G_Alaska_19_State_House
Alaska_20221108_HouseDistrict1,2022,general,NA,Alaska,AK,State House,1,AK_2022_G_Alaska_01_State_House
Alaska_20221108_HouseDistrict20,2022,general,NA,Alaska,AK,State House,20,AK_2022_G_Alaska_20_State_House
Alaska_20221108_HouseDistrict21,2022,general,NA,Alaska,AK,State House,21,AK_2022_G_Alaska_21_State_House
Alaska_20221108_HouseDistrict22,2022,general,NA,Alaska,AK,State House,22,AK_2022_G_Alaska_22_State_House
Alaska_20221108_HouseDistrict23,2022,general,NA,Alaska,AK,State House,23,AK_2022_G_Alaska_23_State_House
Alaska_20221108_HouseDistrict24,2022,general,NA,Alaska,AK,State House,24,AK_2022_G_Alaska_24_State_House
Alaska_20221108_HouseDistrict25,2022,general,NA,Alaska,AK,State House,25,AK_2022_G_Alaska_25_State_House
Alaska_20221108_HouseDistrict26,2022,general,NA,Alaska,AK,State House,26,AK_2022_G_Alaska_26_State_House
Alaska_20221108_HouseDistrict27,2022,general,NA,Alaska,AK,State House,27,AK_2022_G_Alaska_27_State_House
Alaska_20221108_HouseDistrict28,2022,general,NA,Alaska,AK,State House,28,AK_2022_G_Alaska_28_State_House
Alaska_20221108_HouseDistrict29,2022,general,NA,Alaska,AK,State House,29,AK_2022_G_Alaska_29_State_House
Alaska_20221108_HouseDistrict2,2022,general,NA,Alaska,AK,State House,2,AK_2022_G_Alaska_02_State_House
Alaska_20221108_HouseDistrict30,2022,general,NA,Alaska,AK,State House,30,AK_2022_G_Alaska_30_State_House
Alaska_20221108_HouseDistrict31,2022,general,NA,Alaska,AK,State House,31,AK_2022_G_Alaska_31_State_House
Alaska_20221108_HouseDistrict32,2022,general,NA,Alaska,AK,State House,32,AK_2022_G_Alaska_32_State_House
Alaska_20221108_HouseDistrict33,2022,general,NA,Alaska,AK,State House,33,AK_2022_G_Alaska_33_State_House
Alaska_20221108_HouseDistrict34,2022,general,NA,Alaska,AK,State House,34,AK_2022_G_Alaska_34_State_House
Alaska_20221108_HouseDistrict35,2022,general,NA,Alaska,AK,State House,35,AK_2022_G_Alaska_35_State_House
Alaska_20221108_HouseDistrict36,2022,general,NA,Alaska,AK,State House,36,AK_2022_G_Alaska_36_State_House
Alaska_20221108_HouseDistrict37,2022,general,NA,Alaska,AK,State House,37,AK_2022_G_Alaska_37_State_House
Alaska_20221108_HouseDistrict38,2022,general,NA,Alaska,AK,State House,38,AK_2022_G_Alaska_38_State_House
Alaska_20221108_HouseDistrict39,2022,general,NA,Alaska,AK,State House,39,AK_2022_G_Alaska_39_State_House
Alaska_20221108_HouseDistrict3,2022,general,NA,Alaska,AK,State House,3,AK_2022_G_Alaska_03_State_House
Alaska_20221108_HouseDistrict40,2022,general,NA,Alaska,AK,State House,40,AK_2022_G_Alaska_40_State_House
Alaska_20221108_HouseDistrict4,2022,general,NA,Alaska,AK,State House,4,AK_2022_G_Alaska_04_State_House
Alaska_20221108_HouseDistrict5,2022,general,NA,Alaska,AK,State House,5,AK_2022_G_Alaska_05_State_House
Alaska_20221108_HouseDistrict6,2022,general,NA,Alaska,AK,State House,6,AK_2022_G_Alaska_06_State_House
Alaska_20221108_HouseDistrict7,2022,general,NA,Alaska,AK,State House,7,AK_2022_G_Alaska_07_State_House
Alaska_20221108_HouseDistrict8,2022,general,NA,Alaska,AK,State House,8,AK_2022_G_Alaska_08_State_House
Alaska_20221108_HouseDistrict9,2022,general,NA,Alaska,AK,State House,9,AK_2022_G_Alaska_09_State_House
Alaska_20221108_SenateDistrictA,2022,general,NA,Alaska,AK,State Senate,A,AK_2022_G_Alaska_0A_State_Senate
Alaska_20221108_SenateDistrictB,2022,general,NA,Alaska,AK,State Senate,B,AK_2022_G_Alaska_0B_State_Senate
Alaska_20221108_SenateDistrictC,2022,general,NA,Alaska,AK,State Senate,C,AK_2022_G_Alaska_0C_State_Senate
Alaska_20221108_SenateDistrictD,2022,general,NA,Alaska,AK,State Senate,D,AK_2022_G_Alaska_0D_State_Senate
Alaska_20221108_SenateDistrictE,2022,general,NA,Alaska,AK,State Senate,E,AK_2022_G_Alaska_0E_State_Senate
Alaska_20221108_SenateDistrictF,2022,general,NA,Alaska,AK,State Senate,F,AK_2022_G_Alaska_0F_State_Senate
Alaska_20221108_SenateDistrictG,2022,general,NA,Alaska,AK,State Senate,G,AK_2022_G_Alaska_0G_State_Senate
Alaska_20221108_SenateDistrictH,2022,general,NA,Alaska,AK,State Senate,H,AK_2022_G_Alaska_0H_State_Senate
Alaska_20221108_SenateDistrictI,2022,general,NA,Alaska,AK,State Senate,I,AK_2022_G_Alaska_0I_State_Senate
Alaska_20221108_SenateDistrictJ,2022,general,NA,Alaska,AK,State Senate,J,AK_2022_G_Alaska_0J_State_Senate
Alaska_20221108_SenateDistrictK,2022,general,NA,Alaska,AK,State Senate,K,AK_2022_G_Alaska_0K_State_Senate
Alaska_20221108_SenateDistrictL,2022,general,NA,Alaska,AK,State Senate,L,AK_2022_G_Alaska_0L_State_Senate
Alaska_20221108_SenateDistrictM,2022,general,NA,Alaska,AK,State Senate,M,AK_2022_G_Alaska_0M_State_Senate
Alaska_20221108_SenateDistrictN,2022,general,NA,Alaska,AK,State Senate,N,AK_2022_G_Alaska_0N_State_Senate
Alaska_20221108_SenateDistrictO,2022,general,NA,Alaska,AK,State Senate,O,AK_2022_G_Alaska_0O_State_Senate
Alaska_20221108_SenateDistrictP,2022,general,NA,Alaska,AK,State Senate,P,AK_2022_G_Alaska_0P_State_Senate
Alaska_20221108_SenateDistrictQ,2022,general,NA,Alaska,AK,State Senate,Q,AK_2022_G_Alaska_0Q_State_Senate
Alaska_20221108_SenateDistrictR,2022,general,NA,Alaska,AK,State Senate,R,AK_2022_G_Alaska_0R_State_Senate
Alaska_20221108_SenateDistrictS,2022,general,NA,Alaska,AK,State Senate,S,AK_2022_G_Alaska_0S_State_Senate
Alaska_20221108_USRepresentative,2022,general,NA,Alaska,AK,U.S. House,At_Large,AK_2022_G_Alaska_At_Large_US_Representative
Alaska_20221108_USSenator,2022,general,NA,Alaska,AK,U.S. Senate,At_Large,AK_2022_G_Alaska_At_Large_US_Senate
Alaska_20241105_President,2024,general,NA,Alaska,AK,U.S. President,At_Large,AK_2024_G_Alaska_At_Large_US_President
Alaska_20241105_StateHouseD10,2024,general,NA,Alaska,AK,State Representative,10,AK_2024_G_Alaska_10_State_Representative
Alaska_20241105_StateHouseD11,2024,general,NA,Alaska,AK,State Representative,11,AK_2024_G_Alaska_11_State_Representative
Alaska_20241105_StateHouseD12,2024,general,NA,Alaska,AK,State Representative,12,AK_2024_G_Alaska_12_State_Representative
Alaska_20241105_StateHouseD13,2024,general,NA,Alaska,AK,State Representative,13,AK_2024_G_Alaska_13_State_Representative
Alaska_20241105_StateHouseD14,2024,general,NA,Alaska,AK,State Representative,14,AK_2024_G_Alaska_14_State_Representative
Alaska_20241105_StateHouseD15,2024,general,NA,Alaska,AK,State Representative,15,AK_2024_G_Alaska_15_State_Representative
Alaska_20241105_StateHouseD16,2024,general,NA,Alaska,AK,State Representative,16,AK_2024_G_Alaska_16_State_Representative
Alaska_20241105_StateHouseD17,2024,general,NA,Alaska,AK,State Representative,17,AK_2024_G_Alaska_17_State_Representative
Alaska_20241105_StateHouseD18,2024,general,NA,Alaska,AK,State Representative,18,AK_2024_G_Alaska_18_State_Representative
Alaska_20241105_StateHouseD19,2024,general,NA,Alaska,AK,State Representative,19,AK_2024_G_Alaska_19_State_Representative
Alaska_20241105_StateHouseD1,2024,general,NA,Alaska,AK,State Representative,1,AK_2024_G_Alaska_01_State_Representative
Alaska_20241105_StateHouseD20,2024,general,NA,Alaska,AK,State Representative,20,AK_2024_G_Alaska_20_State_Representative
Alaska_20241105_StateHouseD21,2024,general,NA,Alaska,AK,State Representative,21,AK_2024_G_Alaska_21_State_Representative
Alaska_20241105_StateHouseD22,2024,general,NA,Alaska,AK,State Representative,22,AK_2024_G_Alaska_22_State_Representative
Alaska_20241105_StateHouseD23,2024,general,NA,Alaska,AK,State Representative,23,AK_2024_G_Alaska_23_State_Representative
Alaska_20241105_StateHouseD24,2024,general,NA,Alaska,AK,State Representative,24,AK_2024_G_Alaska_24_State_Representative
Alaska_20241105_StateHouseD25,2024,general,NA,Alaska,AK,State Representative,25,AK_2024_G_Alaska_25_State_Representative
Alaska_20241105_StateHouseD26,2024,general,NA,Alaska,AK,State Representative,26,AK_2024_G_Alaska_26_State_Representative
Alaska_20241105_StateHouseD27,2024,general,NA,Alaska,AK,State Representative,27,AK_2024_G_Alaska_27_State_Representative
Alaska_20241105_StateHouseD28,2024,general,NA,Alaska,AK,State Representative,28,AK_2024_G_Alaska_28_State_Representative
Alaska_20241105_StateHouseD29,2024,general,NA,Alaska,AK,State Representative,29,AK_2024_G_Alaska_29_State_Representative
Alaska_20241105_StateHouseD2,2024,general,NA,Alaska,AK,State Representative,2,AK_2024_G_Alaska_02_State_Representative
Alaska_20241105_StateHouseD30,2024,general,NA,Alaska,AK,State Representative,30,AK_2024_G_Alaska_30_State_Representative
Alaska_20241105_StateHouseD31,2024,general,NA,Alaska,AK,State Representative,31,AK_2024_G_Alaska_31_State_Representative
Alaska_20241105_StateHouseD32,2024,general,NA,Alaska,AK,State Representative,32,AK_2024_G_Alaska_32_State_Representative
Alaska_20241105_StateHouseD33,2024,general,NA,Alaska,AK,State Representative,33,AK_2024_G_Alaska_33_State_Representative
Alaska_20241105_StateHouseD34,2024,general,NA,Alaska,AK,State Representative,34,AK_2024_G_Alaska_34_State_Representative
Alaska_20241105_StateHouseD35,2024,general,NA,Alaska,AK,State Representative,35,AK_2024_G_Alaska_35_State_Representative
Alaska_20241105_StateHouseD36,2024,general,NA,Alaska,AK,State Representative,36,AK_2024_G_Alaska_36_State_Representative
Alaska_20241105_StateHouseD37,2024,general,NA,Alaska,AK,State Representative,37,AK_2024_G_Alaska_37_State_Representative
Alaska_20241105_StateHouseD38,2024,general,NA,Alaska,AK,State Representative,38,AK_2024_G_Alaska_38_State_Representative
Alaska_20241105_StateHouseD39,2024,general,NA,Alaska,AK,State Representative,39,AK_2024_G_Alaska_39_State_Representative
Alaska_20241105_StateHouseD3,2024,general,NA,Alaska,AK,State Representative,3,AK_2024_G_Alaska_03_State_Representative
Alaska_20241105_StateHouseD40,2024,general,NA,Alaska,AK,State Representative,40,AK_2024_G_Alaska_40_State_Representative
Alaska_20241105_StateHouseD4,2024,general,NA,Alaska,AK,State Representative,4,AK_2024_G_Alaska_04_State_Representative
Alaska_20241105_StateHouseD5,2024,general,NA,Alaska,AK,State Representative,5,AK_2024_G_Alaska_05_State_Representative
Alaska_20241105_StateHouseD6,2024,general,NA,Alaska,AK,State Representative,6,AK_2024_G_Alaska_06_State_Representative
Alaska_20241105_StateHouseD7,2024,general,NA,Alaska,AK,State Representative,7,AK_2024_G_Alaska_07_State_Representative
Alaska_20241105_StateHouseD8,2024,general,NA,Alaska,AK,State Representative,8,AK_2024_G_Alaska_08_State_Representative
Alaska_20241105_StateHouseD9,2024,general,NA,Alaska,AK,State Representative,9,AK_2024_G_Alaska_09_State_Representative
Alaska_20241105_StateSenateB,2024,general,NA,Alaska,AK,State Senate,B,AK_2024_G_Alaska_0B_State_Senate
Alaska_20241105_StateSenateD,2024,general,NA,Alaska,AK,State Senate,D,AK_2024_G_Alaska_0D_State_Senate
Alaska_20241105_StateSenateF,2024,general,NA,Alaska,AK,State Senate,F,AK_2024_G_Alaska_0F_State_Senate
Alaska_20241105_StateSenateH,2024,general,NA,Alaska,AK,State Senate,H,AK_2024_G_Alaska_0H_State_Senate
Alaska_20241105_StateSenateJ,2024,general,NA,Alaska,AK,State Senate,J,AK_2024_G_Alaska_0J_State_Senate
Alaska_20241105_StateSenateL,2024,general,NA,Alaska,AK,State Senate,L,AK_2024_G_Alaska_0L_State_Senate
Alaska_20241105_StateSenateN,2024,general,NA,Alaska,AK,State Senate,N,AK_2024_G_Alaska_0N_State_Senate
Alaska_20241105_StateSenateP,2024,general,NA,Alaska,AK,State Senate,P,AK_2024_G_Alaska_0P_State_Senate
Alaska_20241105_StateSenateR,2024,general,NA,Alaska,AK,State Senate,R,AK_2024_G_Alaska_0R_State_Senate
Alaska_20241105_StateSenateT,2024,general,NA,Alaska,AK,State Senate,T,AK_2024_G_Alaska_0T_State_Senate
Alaska_20241105_US_House,2024,general,NA,Alaska,AK,U.S. House,At_Large,AK_2024_G_Alaska_At_Large_US_Representative
Berkeley_20101102_CityAuditor,2010,general,NA,Berkeley,CA,City Auditor,At_Large,CA_2010_G_Berkeley_At_Large_CityAuditor
Berkeley_20101102_CityCouncilDistrict1,2010,general,NA,Berkeley,CA,City Council,1,CA_2010_G_Berkeley_01_Council
Berkeley_20101102_CityCouncilDistrict4,2010,general,NA,Berkeley,CA,City Council,4,CA_2010_G_Berkeley_04_Council
Berkeley_20101102_CityCouncilDistrict7,2010,general,NA,Berkeley,CA,City Council,7,CA_2010_G_Berkeley_07_Council
Berkeley_20101102_CityCouncilDistrict8,2010,general,NA,Berkeley,CA,City Council,8,CA_2010_G_Berkeley_08_Council
Berkeley_20121106_CityCouncilDistrict2,2012,general,NA,Berkeley,CA,City Council,2,CA_2012_G_Berkeley_02_Council
Berkeley_20121106_CityCouncilDistrict3,2012,general,NA,Berkeley,CA,City Council,3,CA_2012_G_Berkeley_03_Council
Berkeley_20121106_CityCouncilDistrict5,2012,general,NA,Berkeley,CA,City Council,5,CA_2012_G_Berkeley_05_Council
Berkeley_20121106_CityCouncilDistrict6,2012,general,NA,Berkeley,CA,City Council,6,CA_2012_G_Berkeley_06_Council
Berkeley_20121106_Mayor,2012,general,NA,Berkeley,CA,Mayor,At_Large,CA_2012_G_Berkeley_At_Large_Mayor
Berkeley_20141104_CityAuditor,2014,general,NA,Berkeley,CA,City Auditor,At_Large,CA_2014_G_Berkeley_At_Large_CityAuditor
Berkeley_20141104_CityCouncilDistrict1,2014,general,NA,Berkeley,CA,City Council,1,CA_2014_G_Berkeley_01_Council
Berkeley_20141104_CityCouncilDistrict7,2014,general,NA,Berkeley,CA,City Council,7,CA_2014_G_Berkeley_07_Council
Berkeley_20141104_CityCouncilDistrict8,2014,general,NA,Berkeley,CA,City Council,8,CA_2014_G_Berkeley_08_Council
Berkeley_20161108_CityCouncilDistrict2,2016,general,NA,Berkeley,CA,City Council,2,CA_2016_G_Berkeley_02_Council
Berkeley_20161108_CityCouncilDistrict3,2016,general,NA,Berkeley,CA,City Council,3,CA_2016_G_Berkeley_03_Council
Berkeley_20161108_CityCouncilDistrict5,2016,general,NA,Berkeley,CA,City Council,5,CA_2016_G_Berkeley_05_Council
Berkeley_20161108_CityCouncilDistrict6,2016,general,NA,Berkeley,CA,City Council,6,CA_2016_G_Berkeley_06_Council
Berkeley_20161108_Mayor,2016,general,NA,Berkeley,CA,Mayor,At_Large,CA_2016_G_Berkeley_At_Large_Mayor
Berkeley_20170307_CityCouncilDistrict4,2017,general,NA,Berkeley,CA,City Council,4,CA_2017_G_Berkeley_04_Council
Berkeley_20181106_CityAuditor,2018,general,NA,Berkeley,CA,City Auditor,At_Large,CA_2018_G_Berkeley_At_Large_CityAuditor
Berkeley_20181106_CityCouncilDistrict1,2018,general,NA,Berkeley,CA,City Council,1,CA_2018_G_Berkeley_01_Council
Berkeley_20181106_CityCouncilDistrict4,2018,general,NA,Berkeley,CA,City Council,4,CA_2018_G_Berkeley_04_Council
Berkeley_20181106_CityCouncilDistrict7,2018,general,NA,Berkeley,CA,City Council,7,CA_2018_G_Berkeley_07_Council
Berkeley_20181106_CityCouncilDistrict8,2018,general,NA,Berkeley,CA,City Council,8,CA_2018_G_Berkeley_08_Council
Berkeley_20201103_CityCouncilD2,2020,general,NA,Berkeley,CA,City Council,2,CA_2020_G_Berkeley_02_Council
Berkeley_20201103_CityCouncilD3,2020,general,NA,Berkeley,CA,City Council,3,CA_2020_G_Berkeley_03_Council
Berkeley_20201103_CityCouncilD5,2020,general,NA,Berkeley,CA,City Council,5,CA_2020_G_Berkeley_05_Council
Berkeley_20201103_CityCouncilD6,2020,general,NA,Berkeley,CA,City Council,6,CA_2020_G_Berkeley_06_Council
Berkeley_20201103_Mayor,2020,general,NA,Berkeley,CA,Mayor,At_Large,CA_2020_G_Berkeley_At_Large_Mayor
Berkeley_20240528_CityCouncilDistrict4_Special,2024,special,NA,Berkeley,CA,City Council,At_Large,CA_2024_S_Berkeley_At_Large_Council
Berkeley_20241105_CityCouncilD2,2024,general,NA,Berkeley,CA,City Council,2,CA_2024_G_Berkeley_02_Council
Berkeley_20241105_CityCouncilD3,2024,general,NA,Berkeley,CA,City Council,3,CA_2024_G_Berkeley_03_Council
Berkeley_20241105_CityCouncilD5,2024,general,NA,Berkeley,CA,City Council,5,CA_2024_G_Berkeley_05_Council
Berkeley_20241105_CityCouncilD6,2024,general,NA,Berkeley,CA,City Council,6,CA_2024_G_Berkeley_06_Council
Berkeley_20241105_Mayor,2024,general,NA,Berkeley,CA,Mayor,At_Large,CA_2024_G_Berkeley_At_Large_Mayor
Bloomington_20231107_CityCouncilAL,2023,general,NA,Bloomington,MN,City Council,At_Large,MN_2023_G_Bloomington_At_Large_Council
Bloomington_20231107_CityCouncilD4,2023,general,NA,Bloomington,MN,City Council,4,MN_2023_G_Bloomington_04_Council
Boulder_20231107_Mayor,2023,general,NA,Boulder,CO,Mayor,At_Large,CO_2023_G_Boulder_At_Large_Mayor
Burlington_20060307_Mayor,2006,general,NA,Burlington,VT,Mayor,At_Large,VT_2006_G_Burlington_At_Large_Mayor
Burlington_20090303_Mayor,2009,general,NA,Burlington,VT,Mayor,At_Large,VT_2009_G_Burlington_At_Large_Mayor
Burlington_20230307_CityCouncilCentralDistrict,2023,general,NA,Burlington,VT,City Council,Central,VT_2023_G_Burlington_Central_Council
Burlington_20230307_CityCouncilEastDistrict,2023,general,NA,Burlington,VT,City Council,East,VT_2023_G_Burlington_East_Council
Burlington_20230307_CityCouncilNorthDistrict,2023,general,NA,Burlington,VT,City Council,North,VT_2023_G_Burlington_North_Council
Burlington_20230307_CityCouncilSouthDistrict,2023,general,NA,Burlington,VT,City Council,South,VT_2023_G_Burlington_South_Council
Burlington_20230307_CityCouncilWard8,2023,general,NA,Burlington,VT,City Council,8,VT_2023_G_Burlington_08_Council
Burlington_20240305_Mayor,2024,general,NA,Burlington,VT,Mayor,At_Large,VT_2024_G_Burlington_At_Large_Mayor
Corvallis_20221108_CityCouncilWard9,2022,general,NA,Corvallis,OR,City Council,9,OR_2022_G_Corvallis_09_Council
Corvallis_20221108_Mayor,2022,general,NA,Corvallis,OR,Mayor,At_Large,OR_2022_G_Corvallis_At_Large_Mayor
Easthampton_20211102_Mayor,2021,general,NA,Easthampton,MA,Mayor,At_Large,MA_2021_G_Easthampton_At_Large_Mayor
